,quarter,state,price_cleanmedian_W,availability_30mean_W,availability_60mean_W,availability_90mean_W,unemployment,income,gdp,count
25,2018Q4,CO,110.14973873285435,11.994448073154802,28.032658393207054,28.032658393207054,3.266666666666666,342689.29999999993,379145.2999999999,6124
26,2018Q4,DC,116.89272517321017,9.716224018475751,23.20918013856813,23.20918013856813,5.666666666666668,57650.40000000001,140360.0,17320
27,2018Q4,IL,103.08996229125516,14.626683426108817,34.648590411204886,34.648590411204886,4.333333333333332,735900.5,872806.4,11138
28,2018Q4,LA,139.23763883912576,13.423056252239341,33.26379433894662,33.26379433894662,4.766666666666667,218781.5,256352.0,11164
29,2018Q4,MA,144.56717593321784,12.376752244447944,29.97086155300047,29.97086155300047,3.166666666666666,500339.7999999999,578523.2999999999,6349
30,2018Q4,MN,278.3625714285714,10.522428571428572,23.824285714285715,23.824285714285715,3.0,327239.5,376927.0,14000
31,2018Q4,NC,102.32907268170426,13.879949874686718,33.664411027568924,33.664411027568924,3.933333333333336,488681.5999999998,576026.0,3990
32,2018Q4,NY,106.46914287719135,5.314828025775667,14.314804635877765,14.314804635877765,3.966666666666668,1354115.8999999994,1720265.7000000002,85507
33,2018Q4,OR,91.88262646188531,14.111032830773567,34.12455967310131,34.12455967310131,4.166666666666668,218982.79999999987,246324.20000000013,7097
34,2018Q4,TN,165.67220946256316,13.91309141019752,33.67808911345889,33.67808911345889,3.4000000000000004,325150.2999999999,368171.5,10885
35,2018Q4,TX,162.44649331813943,10.513622707966435,24.015021236921164,24.015021236921164,3.700000000000002,1491558.7999999996,1824833.200000001,19306
36,2019Q1,CA,109.81362735141931,11.192514144784564,26.969276399568,26.969276399568,4.266666666666668,2597426.7999999984,3063191.200000002,62037
37,2019Q1,CO,109.39461224489796,10.715755102040816,25.00081632653061,25.00081632653061,3.100000000000001,348373.0,384026.7000000001,6125
38,2019Q1,DC,116.75367160052986,9.17877094972067,20.396878419627946,20.396878419627946,5.766666666666667,58381.300000000025,141906.10000000003,17363
39,2019Q1,IL,101.0213713268032,15.629652715939448,34.145592163846835,34.145592163846835,4.333333333333332,740748.0,878173.3000000004,11230
